split,model,accuracy,log_loss
holdout,ensemble,0.6604477611940298,0.6223927690058203
holdout,logistic,0.6119402985074627,0.7116941890444402
holdout,rf,0.6604477611940298,0.7885242343126997
validation,ensemble,0.5909090909090909,0.6012785219315899
validation,logistic,0.6590909090909091,0.5524305879347443
validation,rf,0.6742424242424242,0.5706094059247241
