split,model,accuracy,log_loss
holdout,ensemble,0.8097014925373134,0.43639443114470416
holdout,logistic,0.8097014925373134,0.5926600677025152
holdout,rf,0.7947761194029851,0.4305317943094084
validation,ensemble,0.7388059701492538,0.48792221723688195
validation,logistic,0.746268656716418,0.45563224667748636
validation,rf,0.7388059701492538,0.49911580140850414
